imei,sn,model,firmware,configuration,description,companyname,group,lastlogin
864394040097430,1106561826,,,,,"Logifleet SA",,
864394040097489,1106561747,,,,,"Logifleet SA",,
864394040097984,1106561655,,,,,"Logifleet SA",,
864394040099022,1106560955,,,,,"Logifleet SA",,
864394040099097,1106560998,,,,,"Logifleet SA",,
864394040099154,1106560959,,,,,"Logifleet SA",,
864394040099956,1106561002,,,,,"Logifleet SA",,
864394040099964,1106560997,,,,,"Logifleet SA",,
864394040100150,1106562504,,,,,"Logifleet SA",,
864394040100572,1106561609,,,,,"Logifleet SA",,
864394040101331,1105841986,,,,,"Logifleet SA",,
864394040102727,1106561937,,,,,"Logifleet SA",,
864394040102818,1106561906,,,,,"Logifleet SA",,
864394040102909,1106561910,,,,,"Logifleet SA",,
864394040103378,1106561941,,,,,"Logifleet SA",,
864394040103428,1106561940,,,,,"Logifleet SA",,
864394040103444,1106561945,,,,,"Logifleet SA",,
864394040103469,1106561963,,,,,"Logifleet SA",,
864394040103501,1106561967,,,,,"Logifleet SA",,
864394040103576,1106561962,,,,,"Logifleet SA",,
864394040103600,1106561939,,,,,"Logifleet SA",,
864394040103618,1106561942,,,,,"Logifleet SA",,
864394040103634,1106561938,,,,,"Logifleet SA",,
864394040103642,1106561936,,,,,"Logifleet SA",,
864394040104038,1106561068,,,,,"Logifleet SA",,
864394040104202,1105840871,,,,,"Logifleet SA",,
864394040105464,1106562026,,,,,"Logifleet SA",,
864394040106348,1106562252,,,,,"Logifleet SA",,
864394040106421,1106562249,,,,,"Logifleet SA",,
864394040106637,1106562244,,,,,"Logifleet SA",,
864394040107544,1106561375,,,,,"Logifleet SA",,
864394040107643,1106561377,,,,,"Logifleet SA",,
864394040107841,1106561380,,,,,"Logifleet SA",,
864394040107866,1106561379,,,,,"Logifleet SA",,
864394040107890,1106561376,,,,,"Logifleet SA",,
864394040108153,1105841241,,,,,"Logifleet SA",,
864394040108823,1106562307,,,,,"Logifleet SA",,
864394040108856,1106562334,,,,,"Logifleet SA",,
864394040108872,1106562309,,,,,"Logifleet SA",,
864394040109631,1106562022,,,,,"Logifleet SA",,
864394040111371,1106562330,,,,,"Logifleet SA",,
864394040111637,1106562299,,,,,"Logifleet SA",,
864394040112981,1105841248,,,,,"Logifleet SA",,
864394040114003,1106562018,,,,,"Logifleet SA",,
864394040114136,1105840932,,,,,"Logifleet SA",,
864394040114342,1106562411,,,,,"Logifleet SA",,
864394040114771,1106561231,,,,,"Logifleet SA",,
864394040114847,1106561206,,,,,"Logifleet SA",,
864394040114888,1106561239,,,,,"Logifleet SA",,
864394040114920,1106561241,,,,,"Logifleet SA",,
864394040114979,1106561207,,,,,"Logifleet SA",,
864394040115067,1106561213,,,,,"Logifleet SA",,
864394040117501,1105841190,,,,,"Logifleet SA",,
864394040117733,1106561827,,,,,"Logifleet SA",,
864394040118103,1105840456,,,,,"Logifleet SA",,
864394040118319,1105840505,,,,,"Logifleet SA",,
864394040118657,1106561067,,,,,"Logifleet SA",,
864394040119952,1105839405,,,,,"Logifleet SA",,
864394040120539,1105840288,,,,,"Logifleet SA",,
864394040121271,1106561064,,,,,"Logifleet SA",,
864394040121941,1106561603,,,,,"Logifleet SA",,
864394040121990,1106561606,,,,,"Logifleet SA",,
864394040122766,1105840943,,,,,"Logifleet SA",,
864394040122907,1106561881,,,,,"Logifleet SA",,
864394040125272,1105839460,,,,,"Logifleet SA",,
864394040135933,1106864484,,,,,"Logifleet SA",,
864394040136832,1106864523,,,,,"Logifleet SA",,
864394040136899,1106864525,,,,,"Logifleet SA",,
864394040138515,1106966429,,,,,"Logifleet SA",,
864394040139703,1106966438,,,,,"Logifleet SA",,
864394040140255,1106966737,,,,,"Logifleet SA",,
864394040140438,1106966734,,,,,"Logifleet SA",,
864394040140495,1106966735,,,,,"Logifleet SA",,
864394040140628,1106966727,,,,,"Logifleet SA",,
864394040148738,1106864493,,,,,"Logifleet SA",,
864394040148779,1106864494,,,,,"Logifleet SA",,
864394040148969,1106864743,,,,,"Logifleet SA",,
864394040149025,1106864745,,,,,"Logifleet SA",,
864394040149033,1106864746,,,,,"Logifleet SA",,
864394040149058,1106864742,,,,,"Logifleet SA",,
864394040149108,1106864737,,,,,"Logifleet SA",,
864403041370306,1102096141,FM3001,,,,"Logifleet SA",,"2019-10-11 13:45:37"
864431044815696,1106231861,,,,,"Logifleet SA",,
864431044832907,1106233044,FMU130,03.25.10.Rev.175,TLT-FMM130-03.25.10.r.175_ID1.e-02-StTk-IdFE.cfg,,"Logifleet SA",,"2020-05-04 09:39:42"
864431044923243,1106233308,FMU130,03.25.10.Rev.175,,,"Logifleet SA",,"2020-05-15 01:38:41"
864431044952010,1106231593,,,,,"Logifleet SA",,
864431044967299,1106231453,,,,,"Logifleet SA",,
864431044969329,1106232613,,,,,"Logifleet SA",,
864431044978320,1106233222,FMU130,03.25.10.Rev.175,TLT-FMM130-03.25.10.r.175_ID1.e-04-StTk-IdFE.cfg,,"Logifleet SA",,"2020-05-13 12:39:05"
864431044979161,1106233169,,,,,"Logifleet SA",,
864431044986117,1106232847,,,,,"Logifleet SA",,
866425033563059,1101078028,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-03-16 06:26:03"
866425035014416,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 11:30:45"
866425035039454,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 05:41:27"
866425035043977,,FM36M1,,,,"Logifleet SA",,
866425035045220,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-01 10:48:27"
866425035051996,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 09:10:46"
867060035489562,1101076204,FM3001,,,,"Logifleet SA",,
867060035729181,1101072689,FM3001,,,,"Logifleet SA",,"2019-04-17 02:30:33"
867060037097025,1101331931,FM3001,,,tel-fm3001-7025,"Logifleet SA",,
867060037422868,1101331968,FM3001,,FM3001-OBDACC_IDLE_FDX-002.cfg,"FM3001 2019-01-02 12:47:51","Logifleet SA",,"2019-07-24 10:14:17"
867060038025538,1101712980,FM3001,,,,"Logifleet SA",,
867060038722514,1101713654,FM3001,,,,"Logifleet SA",,
867648040176966,1106570411,,,,,"Logifleet SA",,
867648040179549,1106570939,,,,,"Logifleet SA",,
867648040180216,1106570881,,,,,"Logifleet SA",,
868446032714343,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-15 05:31:28"
868446032715381,,FM36M1,,,,"Logifleet SA",,"2019-10-04 04:55:10"
868446032715449,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2019-12-19 07:38:15"
868446032716017,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-08 04:28:09"
868446032729739,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-15 03:02:09"
868446032730133,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-07 05:12:56"
868446032730141,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-15 06:56:37"
868446032730240,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-07 10:04:36"
868446032734382,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 06:46:29"
868446032734796,,FM36M1,,,,"Logifleet SA",,
868446032734853,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-14 19:52:15"
868446032734952,,FM36M1,,,,"Logifleet SA",,"2019-11-14 16:40:05"
868446032735066,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 04:55:06"
868446032735371,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-13 17:44:40"
868446032735421,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 14:16:10"
868446032735595,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 08:59:52"
868446032735686,,FM36M1,,,,"Logifleet SA",,
868446032739753,,FM36M1,,,,"Logifleet SA",,"2019-11-01 06:33:47"
868446032739894,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-13 11:06:18"
868446032740215,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 10:38:35"
868446032772002,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 14:54:20"
868446032772036,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-01 08:04:13"
868446032772309,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 05:15:19"
868446032772341,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-04-20 14:59:08"
868446032772523,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 04:06:54"
868446032772713,,FM36M1,,,"No Company","Logifleet SA",,"2019-10-17 04:45:11"
868446032773273,,FM36M1,,,,"Logifleet SA",,
868446032773885,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-11 11:54:31"
868446032776771,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 07:46:48"
868446032777209,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-13 08:02:47"
868446032777712,,FM36M1,,,,"Logifleet SA",,"2019-12-10 03:36:46"
868446032780864,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-15 01:18:02"
868446032784866,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-14 23:01:04"
868446032784981,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 01:27:09"
868446032785095,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-05-12 10:46:02"
868446032790574,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-01-09 10:54:40"
868446032791184,1102660280,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-15 00:28:40"
868446032791374,1102665283,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-03-16 14:06:02"
868446032794469,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-06 05:31:59"
868446032807675,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-04-21 11:02:49"
868446032808061,,FM36M1,,,"No Company","Logifleet SA",,"2019-10-21 13:38:28"
868446032808640,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-04 15:54:53"
868446032808863,,FM36M1,,,,"Logifleet SA",,"2019-10-23 07:47:13"
868446032808897,,FM36M1,,,,"Logifleet SA",,"2019-11-04 13:55:13"
868446032808905,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 05:58:43"
868446032808988,1102663345,,,,,"Logifleet SA",,
868446032809192,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-14 21:49:16"
868446032809234,1102665369,,,,,"Logifleet SA",,
868446032811073,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-03-10 07:05:36"
868446032812089,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 03:52:23"
868446032813947,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-04-30 10:13:27"
868446032814887,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-07 14:29:39"
868446032815710,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-03-10 08:43:52"
868446032815892,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-15 06:08:38"
868446032817435,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-13 03:38:48"
868446032817468,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-15 05:08:39"
868446032818300,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 06:44:55"
868446032818359,,FM36M1,,,,"Logifleet SA",,
868446032818540,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-15 05:30:54"
868446032818730,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-15 05:04:38"
868446032818912,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-06 08:28:41"
868446032819555,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 16:24:29"
868446032820207,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 14:37:12"
868446032820413,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 05:42:46"
868446032821999,,FM36M1,,,,"Logifleet SA",,"2019-11-07 07:43:37"
868446032822104,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-06 09:34:00"
868446032822310,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-13 05:58:07"
868446032822864,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 08:35:01"
868446032823516,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 13:45:53"
868446032824688,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 09:05:09"
868446032825073,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-13 05:39:12"
868446032828127,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-03-09 07:25:13"
868446032828150,,FM36M1,,,,"Logifleet SA",,
868446032831022,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-04-24 04:47:40"
868446032831030,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-14 23:19:55"
868446032831113,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-15 00:41:41"
868446032831147,,FM36M1,,,,"Logifleet SA",,
868446032831386,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 08:42:31"
868446032832673,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-15 06:39:53"
868446032832830,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-15 05:58:53"
868446032836963,,FM36M1,,,,"Logifleet SA",,
868446032836989,,FM36M1,,,,"Logifleet SA",,
868446032837003,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-15 04:43:26"
868446032837086,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-04-24 11:46:32"
868446032837102,,FM36M1,,,,"Logifleet SA",,
868446032841088,,FM36M1,01.13.06.Rev.10,,"tel-fm36m1-1088 (OD)","Logifleet SA",,"2020-05-15 01:47:40"
868446032842003,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 07:59:50"
868446032843068,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 14:07:16"
868446032846889,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-02-14 07:37:30"
868446032847101,,FM36M1,01.13.06.Rev.10,,,"Logifleet SA",,"2020-05-14 22:41:50"
868446032847242,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 08:36:03"
868446032848018,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 13:33:32"
868446032848240,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 14:49:26"
868446032848257,1102661651,FM36M1,,,,"Logifleet SA",,"2019-11-15 18:37:34"
868446032848372,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-11 06:44:38"
868446032848752,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-06 11:54:40"
868446032849271,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-02-05 04:42:45"
868446035739669,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 03:04:13"
868446035741053,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 05:15:10"
868446035758172,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 21:49:50"
868446035758313,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 05:02:04"
868446035758479,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 17:56:07"
868446035758776,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 16:31:21"
868446035758974,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 05:50:43"
868446035758982,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 06:24:32"
868446035759097,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 23:49:20"
868446035759105,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 00:16:06"
868446035759584,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 22:21:39"
868446035763388,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-02-11 17:20:42"
868446038622656,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 16:00:11"
868446038623308,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-13 21:11:20"
868446038623738,1103311580,,,,,"Logifleet SA",,
868446038623761,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 04:14:27"
868446038623845,,FM36M1,,,"No Company","Logifleet SA",,"2019-10-14 08:10:26"
868446038623886,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 03:41:42"
868446038623894,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-05-15 07:20:10"
868446038623902,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-10 14:11:32"
868446038623944,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-05-15 05:38:21"
868446038623951,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-05-15 07:16:11"
868446038624025,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-04-29 11:59:14"
868446038624215,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 00:44:38"
868446038624298,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-12 08:07:41"
868446038624363,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 10:04:35"
868446038624389,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 06:29:03"
868446038624595,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 02:47:21"
868446038624959,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-06 14:04:55"
868446038627044,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 05:36:25"
868446038627945,,FM36M1,,,"No Company","Logifleet SA",,"2019-11-04 17:05:52"
868446038633182,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-04-17 08:48:01"
868446038633349,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 06:47:05"
868446038643298,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-13 08:26:59"
868446038643694,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 06:27:04"
868446038643868,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 22:28:01"
868446038643934,,FM36M1,,,"No Company","Logifleet SA",,"2019-11-14 17:20:20"
868446038644171,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 02:57:17"
868446038644320,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 02:06:13"
868446038644809,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-02-18 05:29:32"
868446038647422,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 09:30:44"
868446038647604,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 00:25:36"
868446038647612,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 03:38:55"
868446038647638,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-05-15 06:12:19"
868446038647661,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-06 15:08:03"
868446038647703,,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-12 15:01:52"
868446038647729,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-04 18:02:02"
868446038647752,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-12 05:47:33"
868446038647760,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-07 08:17:52"
868446038647893,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 16:39:18"
868446038648024,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 01:14:05"
868446038648040,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 04:47:39"
868446038648073,1103312843,,,,,"Logifleet SA",,
868446038648115,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-05 05:20:03"
868446038648131,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-04-29 17:26:32"
868446038648230,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-04-23 13:46:32"
868446038648818,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 23:58:34"
868446038648834,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 08:25:50"
868446038649279,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-15 03:43:12"
868446038649691,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-05-14 20:55:45"
868446038650277,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 19:33:33"
868446039595422,1103312647,FM36M1,01.12.00.Rev.04,,,"Logifleet SA",,"2020-05-14 15:52:54"
868446039595489,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-14 20:37:31"
868446039596222,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 06:11:04"
868446039596412,,FM36M1,,,"No Company","Logifleet SA",,"2019-10-21 04:53:58"
868446039602426,1103310865,,,,,"Logifleet SA",,
868446039608548,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-06 09:36:30"
868446039681495,1103398090,FMU130,03.25.10.Rev.175,TLT-FMM130-03.25.10.r.175_ID1.e-02-StTk-BP.cfg,"FMM130; JJ","Logifleet SA",,"2020-05-04 14:29:43"
868446039708827,1103312684,,,,,"Logifleet SA",,
868446039708835,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 10:16:18"
868446039708934,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 13:21:24"
868446039708942,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 09:10:08"
868446039711342,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-11 10:11:35"
868446039711417,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 04:15:52"
868446039711516,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-05 03:44:46"
868446039714577,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-13 13:06:10"
868446039714619,,FM36M1,01.13.09.Rev.00,,"No Company","Logifleet SA",,"2020-05-15 02:34:24"
868446039714635,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-04-30 08:04:41"
868446039714692,,FM36M1,01.13.06.Rev.10,,"No Company","Logifleet SA",,"2020-05-15 07:15:57"
868446039714700,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-07 12:36:05"
868446039731308,,FM36M1,01.12.00.Rev.04,,"No Company","Logifleet SA",,"2020-05-14 17:26:28"
